1973,-0.946136477845083
1974,1.99564835695166
1975,1.90673348779194
1976,-0.447612006809021
1977,0.230166106145117
1978,-0.16647015183248
1979,-0.866872510853947
1980,-0.037527770399795
1981,
1982,-1.50098424678303
1983,-1.60840986272511
1984,0.250891814080922
1985,2.66757264400026
1986,
1987,-1.58626025119066
1988,
1989,
1990,-0.932213864880572
1991,1.63650822707166
1992,
1993,-0.387333421133128
1994,0.14568115929229
1995,0.512890076231261
1996,-0.122329140274543
1997,-0.806277502156134
1998,-0.463116734883136
1999,0.138878064320994
2000,0.612246905114361
2001,0.131442123305859
2002,-0.35664038800682
2003,0.858582227679625
2004,0.300570228522471
2005,-0.914494175653013
2006,-0.409799455689498
2007,0.128119681575691
2008,0.78849452832419
2009,1.40172234480651
2010,-0.649964529327308
2011,0.353729296205149
2012,-1.33802639049387
2013,
2014,-0.525293858690553
2015,-0.65977364300685
2016,-0.849311033137349
2017,-0.422456376566325
2018,0.175899557885716
2019,1.7616535322413
